FID,MEAN_RR,MEDIAN_RR,SDRR,RMSSD,SDSD,SDRR_RMSSD,HR,VLF,VLF_PCT,LF,LF_PCT,LF_NU,HF,HF_PCT,HF_NU,TP,LF_HF,HF_LF,sampen,higuci,condition
180.76.138.25-10.42.0.211-80-47454-6,810.7478068,813.95741,60.4710908,19.30348762,19.3034752,3.132651052,74.43309422,697.4114602,34.06179833,1293.066172,63.15376459,95.77720197,57.01103364,2.784437081,4.222798029,2047.488666,22.68098102,0.044089804,2.19660569,1.302339029,stress
203.205.158.61-10.42.0.151-80-40903-6,627.7869333,618.86808,121.4178375,17.43763595,17.43763006,6.962975822,99.32867022,1770.848284,63.07387942,781.7556382,27.84448635,75.40593464,254.9739534,9.081634231,24.59406536,2807.577875,3.066021559,0.326155567,2.147714192,1.26927756,stress
203.205.179.172-10.42.0.151-80-51767-6,925.6988472,937.190295,147.6702901,14.75628558,14.75628178,10.00728058,66.59425498,4209.316269,83.47157304,820.4457333,16.26960094,98.43405535,13.052115,0.258826019,1.565944655,5042.814117,62.8592173,0.015908566,1.994747279,1.121437569,no stress
10.42.0.42-119.146.74.31-35470-443-6,761.9227151,777.496885,108.3473764,17.7461082,17.74571432,6.105416194,80.96198497,1697.387309,50.18089255,1632.398999,48.25960362,96.86966725,52.75079589,1.559503836,3.130332749,3382.537104,30.94548567,0.032314891,2.021139908,1.157958469,no stress
10.42.0.151-54.173.220.111-54434-443-6,776.4001781,775.153655,50.2057799,10.97499614,10.97486171,4.574560143,77.60486873,495.2358714,39.31274119,747.1193377,59.3077175,97.72680239,17.37854763,1.379541315,2.273197607,1259.733757,42.99089622,0.023260739,2.215251331,1.155670037,stress
10.42.0.151-52.22.102.34-53632-443-6,810.5444307,822.2657,82.6692343,14.03395464,14.03395159,5.890658506,74.88463089,1485.092887,64.57173912,774.771012,33.68699165,95.08508409,40.04765215,1.74126923,4.914915908,2299.911551,19.34622807,0.051689663,2.088672363,1.175275961,no stress
10.42.0.211-10.42.0.1-55667-53-17,801.0011941,786.00413,107.7146206,8.846026365,8.845955248,12.17661084,76.11047407,1620.722401,84.09288696,292.8638578,15.19554939,95.52675807,13.71396785,0.71156365,4.473241931,1927.300227,21.35515126,0.046827109,1.914366664,1.158365494,stress
10.42.0.211-10.42.0.1-18693-53-17,811.1076348,799.783605,101.2528177,8.427790931,8.427728436,12.01415869,74.99929266,1604.590487,83.98123465,296.1447644,15.49965748,96.75937651,9.918353288,0.519107873,3.240623491,1910.653605,29.85825931,0.033491571,1.780498232,1.147114275,no stress
10.42.0.42-104.244.43.163-43380-443-6,793.6120423,720.74711,199.9621619,14.78600363,14.77937942,13.5237463,79.49135262,4413.028596,81.48633762,960.5523479,17.73654787,95.80248092,42.08593313,0.77711451,4.197519078,5415.666877,22.8235963,0.043814305,1.58928653,1.136107392,stress
10.42.0.211-10.42.0.1-7686-53-17,994.5599086,1006.96165,107.655379,21.84425419,21.84419645,4.928315614,61.14462541,2203.85689,52.71928067,1969.203032,47.10603842,99.63054515,7.302294849,0.174680912,0.369454853,4180.362217,269.6690661,0.003708249,2.090519802,1.220616854,no stress
172.217.10.106-10.42.0.151-443-48914-6,775.171469,787.865115,90.13584792,13.42666905,13.42630064,6.713195027,78.56044757,1621.169823,67.26746632,758.9951899,31.49311235,96.21348795,29.87049417,1.239421331,3.786512048,2410.035507,25.40952907,0.039355314,2.074665772,1.194097572,stress
219.147.93.205-10.42.0.211-443-34071-6,729.5015011,722.51064,80.94700886,23.53845167,23.53826612,3.438926654,83.25287781,1053.978693,29.07820049,2420.937774,66.79121169,94.17585586,149.7187407,4.130587827,5.824144135,3624.635207,16.16990474,0.061843283,2.208484531,1.243021063,stress
180.149.136.194-10.42.0.42-80-46051-6,864.2132614,865.003415,92.35456926,21.99754357,21.99729942,4.198403744,70.25489043,1452.78923,41.72820201,1987.25732,57.07963219,97.95412904,41.50587709,1.192165793,2.04587096,3481.552427,47.8789381,0.02088601,2.191371162,1.230270988,no stress
172.217.12.163-10.42.0.42-443-48160-6,922.0927323,948.66551,108.4437982,11.46155873,11.45996653,9.461522709,66.06419164,1156.652779,63.68972725,657.1690608,36.18624277,99.65841628,2.252476617,0.12402998,0.34158372,1816.074316,291.753999,0.003427545,2.063643486,1.104293535,stress
220.181.7.190-10.42.0.211-443-33887-6,571.6601676,567.469775,46.25494741,8.850101059,8.850074886,5.226488049,105.6007765,431.9091415,41.60363057,569.5350474,54.86044038,93.94495053,36.7083368,3.535929056,6.055049466,1038.152526,15.51514171,0.064453166,2.027469981,1.204900276,no stress
10.42.0.151-10.42.0.1-40169-53-17,863.244837,859.2099,70.40095499,15.12393183,15.12393178,4.65493734,69.9648178,2142.350056,73.83285837,715.6525128,24.66388277,94.25516595,43.61888158,1.503258862,5.744834049,2901.62145,16.4069432,0.060949806,2.038726931,1.232960923,stress
202.77.129.230-10.42.0.151-80-58558-6,739.8203525,738.786565,47.15178637,10.95086177,10.9508573,4.305760346,81.43192957,599.6297402,56.81880254,408.8518131,38.74135801,89.71811873,46.85526022,4.439839454,10.28188127,1055.336814,8.725846601,0.11460206,2.182094782,1.281501615,no stress
172.217.10.46-10.42.0.151-443-41375-6,983.3893159,985.300405,123.8708945,21.98779699,21.98772543,5.633620072,62.04061431,2340.504255,52.05829916,2142.656059,47.65769166,99.40759469,12.76885163,0.284009182,0.59240531,4495.929165,167.8033484,0.005959357,2.203219831,1.145148426,stress
157.240.2.36-10.42.0.211-443-32813-6,771.6711513,775.62657,44.13138527,9.221930143,9.221589278,4.785482495,78.01353481,473.5579118,60.95916708,274.8402653,35.37905974,90.62065815,28.44628205,3.661773179,9.379341845,776.8444592,9.661728899,0.103501145,2.19011449,1.278379541,no stress
10.42.0.151-10.42.0.1-12291-53-17,925.6768888,937.16168,147.667441,14.7522597,14.75221473,10.00981843,66.59573127,4192.442326,83.18767032,834.5685724,16.5597544,98.49767828,12.72913749,0.25257528,1.502321716,5039.740035,65.56363876,0.015252357,1.994949977,1.121492343,stress
156.154.200.36-10.42.0.211-443-36404-6,856.0275776,779.98412,234.0033066,16.08007181,16.08007171,14.55237945,74.7814992,8071.030483,92.09111821,646.0488282,7.371469991,93.20495851,47.09973226,0.537411799,6.795041488,8764.179043,13.7166136,0.072904292,1.809153365,1.105977497,no stress
10.42.0.1-10.42.0.42-53-35050-17,938.1048518,943.61449,80.50152143,11.7277183,11.72768334,6.864210016,64.45154948,1862.635303,76.97481973,554.4792379,22.91427598,99.51833473,2.683660185,0.110904297,0.481665271,2419.798201,206.6130582,0.004839965,2.205622651,1.099376147,stress
162.208.22.39-10.42.0.211-443-57667-6,949.9758168,958.19505,67.98474581,12.50436114,12.50413665,5.436882784,63.49186209,2254.296103,77.03482297,670.7925644,22.92262599,99.81471496,1.245185444,0.042551038,0.185285044,2926.333853,538.7089672,0.00185629,2.130545254,1.081459623,no stress
180.149.136.194-10.42.0.211-80-52226-6,822.1515483,761.172695,262.776917,17.86505108,17.86490195,14.70899332,80.23826714,8552.659568,90.33755139,825.4140539,8.71844412,90.23017327,89.37312203,0.944004487,9.76982673,9467.446744,9.235596062,0.108276715,1.908165868,1.126999936,stress
10.42.0.211-77.234.44.199-51601-80-6,714.8008667,705.55888,75.70931973,21.50724761,21.50670774,3.520177064,84.85325308,1048.83899,31.37829215,2141.244421,64.05996882,93.35233824,152.478973,4.561739034,6.647661763,3342.562384,14.04288328,0.071210447,2.142721231,1.238652194,no stress
10.42.0.151-119.146.74.33-41908-443-6,792.2463529,791.19509,51.09512386,12.09815753,12.098142,4.223380604,76.05469631,617.9998919,40.71181623,884.3277854,58.25662878,98.26010021,15.65886583,1.031554984,1.739899788,1517.986543,56.47457452,0.017707083,2.175399118,1.146066013,stress
10.42.0.151-104.244.43.99-50129-443-6,854.3363245,842.601215,117.4852587,16.08968484,16.08953381,7.301899318,71.39303231,3128.765922,77.28563223,870.3027963,21.49790158,94.6445078,49.24638463,1.216466193,5.355492196,4048.315103,17.67242008,0.056585346,1.827712306,1.211191478,stress
175.100.207.233-10.42.0.211-80-47310-6,797.7778075,783.21234,107.3304894,8.882391443,8.88234102,12.08351265,76.40539644,1633.598938,82.12442957,342.789459,17.23274185,96.40387095,12.78698788,0.64282858,3.596129045,1989.175385,26.80767841,0.037302745,1.873651339,1.151305553,no stress
10.42.0.211-54.192.36.221-37415-443-6,771.8306245,775.532645,45.08063283,9.35897916,9.358922224,4.81683227,78.00991177,524.2081064,63.58741292,266.8541912,32.36990698,88.8975752,33.32743986,4.0426801,11.1024248,824.3897374,8.007041413,0.124890075,2.18553071,1.274861607,stress
157.240.3.19-10.42.0.211-443-35046-6,789.8233839,796.258165,62.32162658,13.07813705,13.07804693,4.765329063,76.46465224,920.0378915,48.1143592,969.5012213,50.70109659,97.71700958,22.65073411,1.18454421,2.282990422,1912.189847,42.80219867,0.023363286,2.144435937,1.153849935,no stress
10.42.0.42-85.93.5.109-48953-80-6,797.5565245,665.97928,359.8890224,18.57616254,18.56679031,19.37370119,87.55435922,5054.141881,80.11355375,1129.321077,17.90094677,90.01581555,125.2596543,1.985499474,9.98418445,6308.722611,9.015840603,0.110915892,1.532765171,1.119971789,stress
10.42.0.151-69.147.82.60-56405-443-6,775.2157269,775.116805,40.65308808,10.75871566,10.75869863,3.778619061,77.61250482,344.8088259,32.88920893,686.5032393,65.48135307,97.57201788,17.08294677,1.629438005,2.427982116,1048.395012,40.18646482,0.024884,2.19284459,1.154992183,no stress
10.42.0.211-64.71.142.96-53660-443-6,997.6272109,994.45881,95.81033074,21.36873476,21.36866973,4.483668866,60.70533376,1798.39157,50.97688222,1714.314973,48.59366219,99.12397332,15.15057959,0.429455589,0.876026676,3527.857123,113.151775,0.008837687,2.222072439,1.217681404,stress
10.42.0.42-14.29.93.243-52857-80-6,817.3710611,816.26726,52.52969543,18.23000924,18.23000148,2.88149582,73.71455049,658.809364,35.91780043,1132.415835,61.73847578,96.342629,42.98891241,2.343723786,3.657371004,1834.214111,26.3420443,0.037962126,2.186765786,1.307273939,no stress
172.217.3.106-10.42.0.42-443-60131-6,787.196185,786.734565,50.24370909,13.12171263,13.12156033,3.829051169,76.5354262,452.2055297,41.79421207,586.212289,54.17952484,93.0827101,43.56341087,4.026263089,6.917289899,1081.981229,13.45652871,0.07431337,2.214257408,1.307041727,stress
183.3.235.80-10.42.0.151-80-40065-6,766.4249848,770.59323,65.3229663,9.800702581,9.800700306,6.66513097,78.8914188,1304.787047,75.44809734,405.1428904,23.4270108,95.41831085,19.45369571,1.12489186,4.581689149,1729.383633,20.82601149,0.048016875,2.139859825,1.151655698,no stress
172.217.3.106-10.42.0.211-443-60594-6,1022.57853,1019.9713,97.31221067,21.03977358,21.03915207,4.625154842,59.21439827,1851.995755,52.31352949,1678.653512,47.41711192,99.43514672,9.535792709,0.269358594,0.564853283,3540.18506,176.0371228,0.00568062,2.225928828,1.213239221,stress
10.42.0.211-23.203.49.224-36526-443-6,787.2624685,797.62179,86.41751587,14.55420863,14.55407981,5.937630693,77.17927992,2073.338691,64.79868253,1093.442013,34.17367465,97.08066946,32.88109448,1.027642812,2.919330543,3199.661798,33.25442873,0.030071183,2.190400682,1.133677142,no stress
10.42.0.211-23.46.197.118-41352-443-6,1050.397293,1003.92005,310.6274118,18.14651222,18.14105662,17.11774737,62.70004759,8926.893865,92.82728644,677.8191666,7.048377061,98.26653477,11.95703052,0.124336495,1.733465226,9616.670062,56.6879181,0.017640443,2.171654366,1.081175315,stress
203.205.158.61-10.42.0.211-80-60014-6,759.5248097,761.42964,55.90174733,9.380021503,9.380019579,5.959660893,79.43383884,968.1288704,68.77312649,421.5268091,29.94406783,95.89198167,18.05823415,1.282805687,4.108018329,1407.713914,23.34263725,0.042840061,2.185404121,1.143312246,no stress
10.42.0.151-23.66.240.213-55027-80-6,930.8841579,935.801615,79.56657186,13.92893086,13.92893045,5.712324418,64.93270754,2997.363129,78.58650072,814.2774791,21.34917091,99.69958964,2.453544631,0.064328371,0.300410363,3814.094153,331.8779976,0.003013155,2.188716511,1.069068275,stress
172.217.12.174-10.42.0.211-443-35221-6,832.8546421,877.359045,146.1066937,17.14392959,17.14170135,8.52235731,74.63255709,2059.14071,62.53407058,1160.60408,35.24640015,94.07587292,73.08532828,2.21952927,5.924127079,3292.830118,15.88012405,0.0629718,2.029018183,1.193897096,stress
216.58.219.228-10.42.0.211-443-54688-6,766.5930198,747.62456,163.3121889,14.87873273,14.86932838,10.97621631,81.45291423,7321.941625,91.75044709,610.5708018,7.650995721,92.74436818,47.76653317,0.598557186,7.255631822,7980.27896,12.78239724,0.078232587,1.834579233,1.130239274,stress
8.0.6.4-8.6.0.1-0-0-0,1098.972912,1093.78705,101.0766064,17.36756951,17.36746842,5.819847525,55.08265411,2505.369992,71.84600497,981.3040011,28.1406628,99.95264535,0.464913239,0.013332226,0.047354651,3487.138906,2110.72501,0.000473771,2.174444008,1.136256618,no stress
172.217.10.35-10.42.0.211-80-39600-6,875.1250105,880.882475,88.97399005,16.92929982,16.92794851,5.255621378,69.34103357,2555.74175,70.90414015,1004.722085,27.87408216,95.80085382,44.03901149,1.221777686,4.199146176,3604.502847,22.81436507,0.043832033,2.159647334,1.181648859,stress
10.42.0.151-10.42.0.1-4179-53-17,766.9481816,765.74241,56.61537905,10.79156628,10.79102079,5.24626153,78.66145569,1331.078261,71.24055364,507.7924304,27.17752587,94.49947516,29.55704116,1.581920491,5.50052484,1868.427733,17.18008334,0.058206935,2.155576986,1.203230762,stress
10.42.0.42-23.208.87.120-57700-80-6,924.5860466,920.73903,83.57151255,11.87404016,11.87403275,7.038169941,65.43943865,1844.526994,76.97114648,547.9278335,22.86474184,99.28736497,3.93275187,0.164111678,0.712635034,2396.387579,139.3242827,0.0071775,2.205348212,1.104649567,stress
10.42.0.42-66.198.24.253-57711-443-6,697.732585,693.940875,69.92144206,19.8358864,19.83575848,3.524997101,86.86831325,937.8637514,31.33982886,1931.79762,64.55330715,94.01856429,122.9004436,4.106863992,5.981435706,2992.561815,15.7183942,0.06361973,2.19284459,1.224198846,no stress
10.42.0.211-52.84.37.172-40018-443-6,757.6748785,761.804925,80.09881754,10.67537787,10.67525072,7.503136519,80.13342521,1681.181871,74.95350345,537.4953584,23.96359424,95.67643201,24.28913451,1.082902307,4.32356799,2242.966364,22.12904532,0.045189478,2.129362699,1.173417113,stress
10.42.0.151-112.90.74.178-48648-80-6,793.2506518,792.94288,48.17646149,11.64686775,11.64661737,4.136430715,75.92200257,498.9679701,38.43152889,783.5411353,60.34993343,98.02084141,15.82063719,1.218537685,1.979158591,1298.329743,49.52652196,0.020191202,2.178945694,1.157084541,stress
10.42.0.211-52.84.40.205-47600-443-6,919.151936,926.34823,97.45729636,18.11382929,18.11354438,5.380270223,66.05954834,1970.1241,59.56595495,1317.682517,39.83963114,98.52991727,19.66004194,0.594413911,1.470082725,3307.46666,67.02338281,0.014920166,2.198247115,1.196981615,no stress
10.42.0.151-23.194.140.73-46795-443-6,835.088832,839.255445,69.99027678,18.14491815,18.14491802,3.857293608,72.38463475,1410.231343,54.05737571,1154.672262,44.26121473,96.34019696,43.86406905,1.68140956,3.659803038,2608.767674,26.3238748,0.037988328,2.168981433,1.260328739,stress
182.22.31.252-10.42.0.151-443-50779-6,878.580298,878.98727,99.55723139,21.29185355,21.29185254,4.675836753,69.20868965,1738.404663,45.06007208,2091.108978,54.20229436,98.65738164,28.45769117,0.737633557,1.342618356,3857.971332,73.48132937,0.013608899,2.186908393,1.203005987,no stress
10.42.0.151-10.42.0.1-16886-53-17,729.6363105,732.076585,36.41469829,10.08467778,10.08466018,3.610893583,82.44332657,367.1007728,49.16406057,337.1791191,45.15679579,88.82848688,42.40532609,5.679143643,11.17151312,746.685218,7.951338903,0.125764983,2.126196154,1.31860128,no stress
172.217.12.170-10.42.0.211-443-41214-6,988.1410855,994.9281,92.4810838,20.38919899,20.38885196,4.535787986,61.30399347,2227.085824,58.40348628,1578.497052,41.39478143,99.51502597,7.692607844,0.201732287,0.484974025,3813.275485,205.1966101,0.004873375,2.108100024,1.203392186,stress
10.42.0.211-64.71.142.124-55657-443-6,942.7002255,808.32882,320.6634717,16.00798575,16.00699324,20.03146909,69.23190748,3546.384921,83.49385178,659.8244439,15.53449091,94.11336132,41.27095279,0.971657305,5.886638678,4247.480318,15.98762324,0.062548384,1.205735531,1.193183544,stress
172.217.11.14-10.42.0.211-443-55117-6,989.0857139,996.558185,210.3653222,17.88181068,17.88179879,11.76420699,64.64408327,4281.498207,81.21451807,972.0300906,18.43816149,98.15112307,18.31017263,0.347320441,1.848876928,5271.838471,53.08688837,0.018837043,1.972633642,1.121778642,stress
10.42.0.42-58.220.11.230-52223-80-6,787.8219557,783.369365,51.0088391,12.09092203,12.09078667,4.218771651,76.47237002,558.4981286,36.21910492,967.2619841,62.72780783,98.3488986,16.23859179,1.053087252,1.651101401,1541.998704,59.56563209,0.016788204,2.176378661,1.13948967,no stress
202.77.129.150-10.42.0.151-80-51631-6,761.857954,766.601,57.84880278,9.535968958,9.535820158,6.0663791,79.22148657,1039.05318,69.83926987,429.6358192,28.87768644,95.74597935,19.08883965,1.283043688,4.254020649,1487.777839,22.50717315,0.04443028,2.17604159,1.151059926,stress
175.100.207.231-10.42.0.211-80-55879-6,904.4351936,898.58153,113.6308976,14.27453934,14.27453827,7.960389816,67.40839197,2077.96511,71.09318993,827.9526222,28.32665127,97.99300305,16.95731674,0.580158798,2.006996955,2922.875049,48.82568597,0.020481023,2.200935256,1.163461983,no stress
10.42.0.211-10.42.0.1-16906-53-17,791.4315016,790.646865,48.80636651,12.09271519,12.0926388,4.036013891,76.10427079,502.9196944,36.78109077,845.8478499,61.8611816,97.85233936,18.56464697,1.357727631,2.147660641,1367.332191,45.56229113,0.021947974,2.176849183,1.159520001,stress
10.42.0.1-10.42.0.42-53-16788-17,1075.408183,1081.11285,96.01968296,22.02274474,22.0221603,4.360023426,56.25090431,2221.995753,51.92422044,2055.574017,48.03523059,99.91565614,1.735214053,0.040548969,0.084343862,4279.304984,1184.622735,0.000844151,2.195150679,1.141414179,no stress
10.42.0.211-114.134.80.163-57192-443-6,760.0252917,770.937935,102.4807563,18.87945031,18.87925182,5.428164202,80.59474732,1935.845721,50.7391458,1793.175194,46.99970488,95.40984549,86.26941132,2.261149321,4.590154511,3815.290327,20.78575901,0.048109862,2.152142796,1.165365157,stress
10.42.0.211-31.13.69.195-56545-443-6,865.1936544,869.65216,59.61585289,11.90991763,11.90991414,5.005563827,69.69485833,970.9357448,58.26933771,686.2207844,41.18257139,98.68659908,9.13278011,0.548090902,1.31340092,1666.289309,75.13821378,0.013308807,2.13091228,1.144054138,no stress
10.42.0.42-111.206.25.159-46340-80-6,720.5715426,713.25755,67.10160251,22.37475462,22.37474455,2.998987191,83.98468308,946.4216671,28.98857623,2164.282863,66.29125362,93.35294252,154.1045435,4.720170153,6.647057477,3264.809074,14.04425083,0.071203513,2.177602479,1.239374134,stress
172.217.12.163-10.42.0.211-443-44040-6,811.0858941,817.522975,78.50842119,14.10360285,14.10360257,5.566550763,74.74948092,1119.226788,56.13895221,825.9669458,41.42942197,94.45606992,48.47865253,2.43162582,5.543930077,1993.672387,17.03774554,0.058693211,2.070503178,1.174970658,stress
208.80.154.224-10.42.0.211-443-47231-6,886.3620064,893.01862,86.63488645,14.04608541,14.04607119,6.167902582,68.37215235,1926.458648,69.0701311,848.806773,30.43262577,98.39235296,13.86877796,0.497243122,1.60764704,2789.134199,61.20270839,0.016339146,2.208516916,1.166105988,stress
10.42.0.211-121.12.98.62-41147-80-6,790.6597343,797.41584,62.55575253,13.12508347,13.12507867,4.766122263,76.38746098,992.9365525,49.08474286,1008.010449,49.8299046,97.86831571,21.95562495,1.085352535,2.131684286,2022.902626,45.91126198,0.021781148,2.141281934,1.150574641,no stress
10.42.0.211-123.125.46.161-49632-80-6,976.3979373,993.8586,107.4490965,19.15603632,19.15597197,5.609150799,62.28046951,2062.889866,59.96538737,1368.591027,39.78306958,99.37168605,8.65341901,0.251543057,0.628313952,3440.134311,158.1561028,0.006322867,2.095395574,1.215527255,stress
172.217.12.206-10.42.0.151-443-37160-6,591.3144293,548.345925,140.2863086,19.12157847,19.12156941,7.336544354,106.5836421,3220.08468,67.02781776,1229.405533,25.59074627,77.61314094,354.611707,7.381435967,22.38685906,4804.10192,3.466906221,0.288441607,1.947288016,1.256646554,stress
157.240.18.36-10.42.0.42-443-56022-6,833.2517039,826.935365,70.30761764,10.99288327,10.99047495,6.395739488,72.50143309,999.832522,64.89892505,528.9352272,34.3330777,97.81204065,11.83176188,0.76799725,2.187959347,1540.599511,44.70468832,0.022369018,2.055989115,1.163210516,stress
172.217.10.227-10.42.0.211-443-40737-6,664.6097691,657.564925,49.87999302,9.367746384,9.367721616,5.324652374,90.77715861,1002.073409,66.90614639,460.5525235,30.75003714,92.91766834,35.10404184,2.343816471,7.082331657,1497.729975,13.11964376,0.076221582,1.921900067,1.232212671,no stress
10.42.0.211-119.146.74.33-50805-443-6,750.9449224,762.377,132.6747414,18.81804628,18.817754,7.050399358,82.65507795,2432.817335,61.55884531,1386.687164,35.08806822,91.27735236,132.5146184,3.353086472,8.72264764,3952.019116,10.46440899,0.095562014,1.859285772,1.264153071,stress
216.58.219.227-10.42.0.151-443-38221-6,727.9005589,724.868945,40.55566796,10.24460215,10.24459031,3.95873528,82.68223754,420.6601252,52.41326984,336.0978947,41.87701327,88.00145152,45.82523144,5.709716888,11.99854848,802.5832513,7.334341456,0.136344893,2.12680777,1.321126734,stress
10.42.0.211-10.42.0.1-55671-53-17,1003.830864,1020.61185,98.98878421,14.93639653,14.93617832,6.627353792,60.45282716,2335.702684,72.96559799,857.6429046,26.79212035,99.10380239,7.755681477,0.242281666,0.896197614,3201.10127,110.5825332,0.009043019,2.004576272,1.169536257,no stress
172.217.11.14-10.42.0.151-443-54822-6,793.3845719,793.397635,81.07250918,12.43905779,12.43803656,6.517576377,76.40088487,2486.276687,78.59027928,645.1799269,20.39389699,95.25531537,32.13652984,1.015823729,4.744684633,3163.593143,20.07621638,0.049810182,2.147759905,1.161611686,stress
172.217.10.78-10.42.0.151-443-42200-6,778.2204374,776.60321,91.50271465,26.0346281,26.03453185,3.514654187,78.18173105,1638.438198,33.71299551,3098.154372,63.74855307,96.17051422,123.3677309,2.538451412,3.829485782,4859.9603,25.11316655,0.039819749,2.226777749,1.216927027,no stress
10.42.0.211-104.254.66.16-47478-80-6,751.355356,755.749505,70.24739002,9.821488509,9.821487011,7.15241788,80.59067314,1060.900757,67.86398169,483.9304319,30.95619055,96.32864362,18.44395409,1.17982776,3.671356384,1563.275143,26.23788964,0.038112821,2.178914253,1.178538516,no stress
206.126.112.141-10.42.0.151-443-37248-6,734.0355307,734.654205,63.48634157,9.61330521,9.613197227,6.604007694,82.35538142,1221.098583,72.93087284,424.3865782,25.34675252,93.63712532,28.83811956,1.722374639,6.362874684,1674.32328,14.71616682,0.067952478,2.194847152,1.165954708,stress
10.42.0.211-36.110.210.167-55476-80-6,638.9433424,613.89218,100.3443514,8.337948321,8.337825689,12.03465739,95.60968583,1278.908504,81.65382031,251.3502791,16.04783333,87.47234356,35.99800595,2.298346363,12.52765644,1566.256789,6.982338951,0.143218484,1.246575347,1.220511078,stress
